DATE,USALORSGPNOSTSAM
1992-11-01,99.8560699915058
1992-12-01,99.8175954053245
1993-01-01,99.7493731185797
1993-02-01,99.666731734959
1993-03-01,99.5839354188412
1993-04-01,99.5092947128602
1993-05-01,99.4486226859129
1993-06-01,99.4079245885997
1993-07-01,99.39490866173
1993-08-01,99.4168351629907
1993-09-01,99.4762153664537
1993-10-01,99.5638002334557
1993-11-01,99.6666139916095
1993-12-01,99.7737139337479
1994-01-01,99.8806397905309
1994-02-01,99.9857609254745
1994-03-01,100.086406780352
1994-04-01,100.174897347331
1994-05-01,100.242734909568
1994-06-01,100.285441791074
1994-07-01,100.308636024208
1994-08-01,100.320229342767
1994-09-01,100.32383862762
1994-10-01,100.312870128306
1994-11-01,100.276589929888
1994-12-01,100.207027180323
1995-01-01,100.107447276785
1995-02-01,99.987021199842
1995-03-01,99.857508182824
1995-04-01,99.7313209109383
1995-05-01,99.6190172251563
1995-06-01,99.5264619783657
1995-07-01,99.4508880209662
1995-08-01,99.3866386826035
1995-09-01,99.3294774666852
1995-10-01,99.2798940227993
1995-11-01,99.24239359301
1995-12-01,99.2240970375891
1996-01-01,99.2323330137471
1996-02-01,99.2722172463209
1996-03-01,99.3421606336609
1996-04-01,99.4269047532153
1996-05-01,99.5069111831368
1996-06-01,99.5664586901103
1996-07-01,99.6018676641258
1996-08-01,99.6158455919462
1996-09-01,99.6133789947121
1996-10-01,99.5990080559274
1996-11-01,99.5781785138541
1996-12-01,99.5593000967828
1997-01-01,99.5561286174945
1997-02-01,99.5821274779225
1997-03-01,99.6436340122245
1997-04-01,99.7308172698011
1997-05-01,99.8267379109418
1997-06-01,99.9143721052025
1997-07-01,99.9828695829924
1997-08-01,100.026328711496
1997-09-01,100.043823644365
1997-10-01,100.041106903545
1997-11-01,100.026317711873
1997-12-01,100.007097374046
1998-01-01,99.9885508917225
1998-02-01,99.9747202198353
1998-03-01,99.9699794305509
1998-04-01,99.9800702876504
1998-05-01,100.011086823612
1998-06-01,100.067401514715
1998-07-01,100.148091571556
1998-08-01,100.248522940232
1998-09-01,100.360154658422
1998-10-01,100.46890753239
1998-11-01,100.560230992216
1998-12-01,100.624379860261
1999-01-01,100.662934738365
1999-02-01,100.683992739711
1999-03-01,100.699232682377
1999-04-01,100.722313309206
1999-05-01,100.76581689132
1999-06-01,100.837747883392
1999-07-01,100.93666312265
1999-08-01,101.055100362908
1999-09-01,101.1811170299
1999-10-01,101.29849823869
1999-11-01,101.393390218818
1999-12-01,101.461640635627
2000-01-01,101.517802531457
2000-02-01,101.580074099811
2000-03-01,101.656237269498
2000-04-01,101.729292633883
2000-05-01,101.772602885646
2000-06-01,101.765350230436
2000-07-01,101.710169714348
2000-08-01,101.619170369974
2000-09-01,101.503535284424
2000-10-01,101.365934607591
2000-11-01,101.205248092362
2000-12-01,101.02299213489
2001-01-01,100.831477653266
2001-02-01,100.644556641578
2001-03-01,100.469325177404
2001-04-01,100.29777373197
2001-05-01,100.117377317068
2001-06-01,99.9214177760112
2001-07-01,99.7199170861143
2001-08-01,99.5308402972693
2001-09-01,99.3719377604355
2001-10-01,99.2519385036109
2001-11-01,99.1734758977524
2001-12-01,99.1332410075347
2002-01-01,99.1191739702033
2002-02-01,99.1162925673539
2002-03-01,99.1106239664202
2002-04-01,99.0923362354094
2002-05-01,99.0546825662804
2002-06-01,98.9938458097517
2002-07-01,98.9101514183045
2002-08-01,98.8068242142532
2002-09-01,98.6903698996037
2002-10-01,98.572342959858
2002-11-01,98.4663843289589
2002-12-01,98.3854112490016
2003-01-01,98.337978275014
2003-02-01,98.3309378147962
2003-03-01,98.3696498578664
2003-04-01,98.4552480409226
2003-05-01,98.5858064169576
2003-06-01,98.75404330704
2003-07-01,98.9416725366532
2003-08-01,99.126739195886
2003-09-01,99.289513236653
2003-10-01,99.4185366464126
2003-11-01,99.5085734265565
2003-12-01,99.5608885028484
2004-01-01,99.5862362387916
2004-02-01,99.5986750259796
2004-03-01,99.6113164721263
2004-04-01,99.6330390133903
2004-05-01,99.669530052365
2004-06-01,99.7236999819119
2004-07-01,99.7950602187161
2004-08-01,99.8815170128947
